tweet_original;tweet_preprocesado;puntaje_positivo;puntaje_negativo;sentimiento_calculado;sentimiento;tiempo_fuzz;tiempo_defuzz;tiempo_total
i was talking to this guy last night and he was telling me that he is a die hard spurs fan he also told me that he hates lebron james;talking guy last night telling die hard spur fan also told hate lebron james;0.11;0.42;3.62;Neutro;0.00012159347534179688;0.010478734970092773;0.01060032844543457
i love lebron;love lebron;0.81;0.0;8.28;Positivo;0.00017213821411132812;0.009771108627319336;0.009943246841430664
lebron is a beast but i m still cheering the a til the end;lebron beast still cheering til end;0.4;0.0;7.3;Positivo;0.0001494884490966797;0.012317895889282227;0.012467384338378906
lebron is the boss;lebron bos;0.0;0.0;5.0;Neutro;0.00011229515075683594;0.01479482650756836;0.014907121658325195
lebron is a hometown hero to me lol i love the lakers but let s go cavs lol;lebron hometown hero lol love lakers let go cavs lol;0.69;0.0;8.09;Positivo;0.00012087821960449219;0.009715557098388672;0.009836435317993164
lebron and zydrunas are such an awesome duo;lebron zydrunas awesome duo;0.58;0.0;8.22;Positivo;0.00017261505126953125;0.008565187454223633;0.008737802505493164
lebron is a beast nobody in the nba comes even close;lebron beast nobody nba come even close;0.0;0.0;5.0;Neutro;0.00013065338134765625;0.01487278938293457;0.015003442764282227
downloading apps for my iphone so much fun there literally is an app for just about anything;downloading apps iphone much fun literally app anything;0.32;0.0;6.29;Neutro;0.00015020370483398438;0.012622594833374023;0.012772798538208008
good news just had a call from the visa office saying everything is fine what a relief i am sick of scams out there stealing;good news call visa office saying everything fine relief sick scam stealing;0.32;0.44;4.84;Neutro;0.0001316070556640625;0.013696670532226562;0.013828277587890625
awesome come back from via;awesome come back via;0.58;0.0;8.22;Positivo;0.0001289844512939453;0.00953984260559082;0.009668827056884766
in montreal for a long weekend of r amp r much needed;montreal long weekend r amp r much needed;0.0;0.0;5.0;Neutro;0.00011920928955078125;0.016313791275024414;0.016433000564575195
booz allen hamilton has a bad ass homegrown social collaboration platform way cool ttiv;booz allen hamilton bad as homegrown social collaboration platform way cool ttiv;0.15;0.22;4.83;Neutro;0.00033164024353027344;0.01162862777709961;0.011960268020629883
mluc customer innovation award winner booz allen hamilton;mluc customer innovation award winner booz allen hamilton;0.66;0.0;8.09;Positivo;0.00014781951904296875;0.008756637573242188;0.008904457092285156
i current use the nikon d and love it but not as much as the canon d d i chose the d for the video feature my mistake;current use nikon love much canon chose video feature mistake;0.29;0.16;5.69;Neutro;0.00013828277587890625;0.010154247283935547;0.010292530059814453
google is always a good place to look should ve mentioned i worked on the mustang w my dad;google always good place look mentioned worked mustang w dad;0.27;0.0;5.88;Neutro;0.00015163421630859375;0.010646581649780273;0.010798215866088867
played with an android google phone the slide out screen scares me i would break that fucker so fast still prefer my iphone;played android google phone slide screen scare would break fucker fast still prefer iphone;0.12;0.36;3.94;Neutro;0.00021719932556152344;0.010822057723999023;0.011039257049560547
us planning to resume the military tribunals at guantanamo bay only this time those on trial will be aig execs and chrysler debt holders;u planning resume military tribunal guantanamo bay time trial aig exec chrysler debt holder;0.0;0.17;4.73;Neutro;0.00015425682067871094;0.011877059936523438;0.012031316757202148
omg so bored amp my tattoooos are so itchy help aha;omg bored amp tattoooos itchy help aha;0.25;0.39;4.67;Neutro;0.0001366138458251953;0.012443304061889648;0.012579917907714844
i m itchy and miserable;itchy miserable;0.0;1.0;0.0;Negativo;0.0001232624053955078;0.005094051361083984;0.005217313766479492
no i m not itchy for now maybe later lol;itchy maybe later lol;0.41;0.3;5.35;Neutro;0.0001232624053955078;0.011289596557617188;0.011412858963012695
rt i love the nerdy stanford human biology videos makes me miss school;rt love nerdy stanford human biology video make miss school;0.3;0.2;5.54;Neutro;0.0001971721649169922;0.010390996932983398;0.01058816909790039
has been a bit crazy with steep learning curve but lyx is really good for long docs for anything shorter it would be insane;bit crazy steep learning curve lyx really good long doc anything shorter would insane;0.17;0.26;4.74;Neutro;0.00012874603271484375;0.009570121765136719;0.009698867797851562
i m listening to p y t by danny gokey lt lt lt aww he s so amazing i lt him so much;listening p danny gokey lt lt lt aww amazing lt much;0.3;0.0;6.11;Neutro;0.0001316070556640625;0.010659217834472656;0.010790824890136719
is going to sleep then on a bike ride;going sleep bike ride;0.0;0.0;5.0;Neutro;9.369850158691406e-05;0.01474308967590332;0.014836788177490234
cant sleep my tooth is aching;cant sleep tooth aching;0.47;0.0;8.33;Positivo;0.00011777877807617188;0.009551763534545898;0.00966954231262207
blah blah blah same old same old no plans today going back to sleep i guess;blah blah blah old old plan today going back sleep guess;0.0;0.34;3.84;Neutro;0.0001125335693359375;0.011634111404418945;0.011746644973754883
glad i didnt do bay to breakers today it s freaking degrees in san francisco wtf;glad didnt bay breaker today freaking degree san francisco wtf;0.18;0.4;4.25;Neutro;9.965896606445312e-05;0.010302066802978516;0.010401725769042969
obama administration must stop bonuses to aig ponzi schemers;obama administration must stop bonus aig ponzi schemer;0.3;0.19;5.6;Neutro;0.0001475811004638672;0.011153221130371094;0.011300802230834961
started to think that citi is in really deep s amp t are they gonna survive the turmoil or are they gonna be the next aig;started think citi really deep amp gon na survive turmoil gon na next aig;0.0;0.16;4.76;Neutro;0.00012302398681640625;0.0117950439453125;0.011918067932128906
shaunwoo hate n on aig;shaunwoo hate n aig;0.0;0.65;1.78;Negativo;9.965896606445312e-05;0.008446216583251953;0.008545875549316406
you will not regret going to see star trek it was awesome;regret going see star trek awesome;0.38;0.26;5.48;Neutro;0.00010752677917480469;0.011766433715820312;0.011873960494995117
annoying new trend on the internets people picking apart michael lewis and malcolm gladwell nobody wants to read that;annoying new trend internet people picking apart michael lewis malcolm gladwell nobody want read;0.08;0.17;4.81;Neutro;0.00013113021850585938;0.010825634002685547;0.010956764221191406
highly recommend by malcolm gladwell;highly recommend malcolm gladwell;0.48;0.0;8.33;Positivo;8.535385131835938e-05;0.009529590606689453;0.009614944458007812
blink by malcolm gladwell amazing book and the tipping point;blink malcolm gladwell amazing book tipping point;0.39;0.0;7.14;Positivo;0.0001227855682373047;0.011579751968383789;0.011702537536621094
malcolm gladwell might be my new man crush;malcolm gladwell might new man crush;0.0;0.24;4.45;Neutro;0.0001308917999267578;0.010937690734863281;0.011068582534790039
omg the commercials alone on espn are going to drive me nuts;omg commercial alone espn going drive nut;0.0;0.25;4.4;Neutro;0.00017023086547851562;0.010811567306518555;0.01098179817199707
playing with twitter api sounds fun may need to take a class or find a new friend who like to generate results with api code;playing twitter api sound fun may need take class find new friend like generate result api code;0.45;0.0;8.33;Positivo;0.00012493133544921875;0.010715723037719727;0.010840654373168945
hello twitter api;hello twitter api;0.0;0.0;5.0;Neutro;0.00012969970703125;0.015529155731201172;0.015658855438232422
because the twitter api is slow and most client s aren t good;twitter api slow client good;0.42;0.0;7.66;Positivo;0.00013113021850585938;0.012054920196533203;0.012186050415039062
yahoo answers can be a butt sometimes;yahoo answer butt sometimes;0.0;0.0;5.0;Neutro;0.00012803077697753906;0.01479196548461914;0.01491999626159668
is scrapbooking with nic d;scrapbooking nic;0.0;0.0;5.0;Neutro;0.00011587142944335938;0.016033411026000977;0.016149282455444336
rt five things wolfram alpha does better and vastly different than google;rt five thing wolfram alpha better vastly different google;0.27;0.0;5.88;Neutro;0.0001888275146484375;0.01184701919555664;0.012035846710205078
just changed my default pic to a nike basketball cause bball is awesome;changed default pic nike basketball cause bball awesome;0.37;0.0;6.85;Positivo;0.00011777877807617188;0.011771678924560547;0.011889457702636719
rt was just told that nike layoffs started today;rt told nike layoff started today;0.0;0.0;5.0;Neutro;0.00013971328735351562;0.015576601028442383;0.0157163143157959
back when i worked for nike we had one fav word just do it;back worked nike one fav word;0.38;0.0;6.99;Positivo;0.00012540817260742188;0.011639118194580078;0.0117645263671875
by the way i m totally inspired by this freaky nike commercial;way totally inspired freaky nike commercial;0.34;0.27;5.34;Neutro;0.00011658668518066406;0.010779857635498047;0.010896444320678711
class the d is supposed to come today;class supposed come today;0.0;0.0;5.0;Neutro;0.00015974044799804688;0.015365362167358398;0.015525102615356445
needs someone to explain lambda calculus to him;need someone explain lambda calculus;0.0;0.0;5.0;Neutro;0.00011920928955078125;0.014863252639770508;0.014982461929321289
took the graduate field exam for computer science today nothing makes you feel like more of an idiot than lambda calculus;took graduate field exam computer science today nothing make feel like idiot lambda calculus;0.0;0.31;4.06;Neutro;0.00012135505676269531;0.012118339538574219;0.012239694595336914
shout outs to all east palo alto for being in the buildin karizmakaze cal gta also thanks to profits of doom universal hempz cracka;shout out east palo alto buildin karizmakaze cal gta also thanks profit doom universal hempz cracka;0.27;0.13;5.66;Neutro;0.00019621849060058594;0.01571488380432129;0.015911102294921875
yeahhhhhhhhh i wouldn t really have lived in east palo alto if i could have avoided it i guess it s only for the summer;yeahhhhhhhhh really lived east palo alto could avoided guess summer;0.0;0.21;4.58;Neutro;0.00020432472229003906;0.01648569107055664;0.01669001579284668
great stanford course thanks for making it available to the public really helpful and informative for starting off;great stanford course thanks making available public really helpful informative starting;0.56;0.0;8.25;Positivo;0.0001506805419921875;0.009447097778320312;0.0095977783203125
work til pm lets go lakers;work til pm let go lakers;0.0;0.0;5.0;Neutro;0.00018334388732910156;0.018557310104370117;0.01874065399169922
damn you north korea;damn north korea;0.0;0.57;1.7;Negativo;0.0001513957977294922;0.00946950912475586;0.009620904922485352
can we just go ahead and blow north korea off the map already;go ahead blow north korea map already;0.0;0.0;5.0;Neutro;0.00012087821960449219;0.014946460723876953;0.015067338943481445
north korea please cease this douchebaggery china doesn t even like you anymore;north korea please cease douchebaggery china even like anymore;0.41;0.0;7.47;Positivo;0.00014090538024902344;0.01154327392578125;0.011684179306030273
why the hell is pelosi in freakin china and on whose dime;hell pelosi freakin china whose dime;0.0;0.48;2.09;Negativo;0.00013375282287597656;0.011850118637084961;0.011983871459960938
are you burning more cash than chrysler and gm stop the financial tsunami where bailout means taking a handout;burning cash chrysler gm stop financial tsunami bailout mean taking handout;0.0;0.29;4.18;Neutro;0.0001251697540283203;0.010915756225585938;0.011040925979614258
insects have infected my spinach plant;insect infected spinach plant;0.0;0.52;1.67;Negativo;0.00012254714965820312;0.010316848754882812;0.010439395904541016
wish i could catch every mosquito in the world n burn em slowly they been bitin the shit outta me day mosquitos are the assholes of insects;wish could catch every mosquito world n burn em slowly bitin shit outta day mosquito asshole insect;0.13;0.18;4.9;Neutro;0.00011324882507324219;0.010669708251953125;0.010782957077026367
just got back from church and i totally hate insects;got back church totally hate insect;0.0;0.44;2.77;Negativo;0.00013756752014160156;0.01206517219543457;0.012202739715576172
just got mcdonalds goddam those eggs make me sick o yeah laker up date go lakers not much of an update well it s true so suck it;got mcdonalds goddam egg make sick yeah laker date go lakers much update well true suck;0.27;0.36;4.82;Neutro;0.00016355514526367188;0.010826826095581055;0.010990381240844727
omgg i ohhdee want mcdonalds damn i wonder if its open lol;omgg ohhdee want mcdonalds damn wonder open lol;0.35;0.23;5.55;Neutro;0.00012111663818359375;0.010272502899169922;0.010393619537353516
history exam studying ugh;history exam studying ugh;0.0;0.48;2.09;Negativo;0.00013113021850585938;0.011842489242553711;0.01197361946105957
i hate revision it s so boring i am totally unprepared for my exam tomorrow things are not looking good;hate revision boring totally unprepared exam tomorrow thing looking good;0.18;0.38;4.31;Neutro;0.00013327598571777344;0.011501789093017578;0.011635065078735352
higher physics exam tommorow not lookin forward to it much;higher physic exam tommorow lookin forward much;0.0;0.0;5.0;Neutro;0.00012683868408203125;0.014574050903320312;0.014700889587402344
it s a bank holiday yet i m only out of work now exam season sucks;bank holiday yet work exam season suck;0.26;0.27;5.07;Neutro;0.0001575946807861328;0.01027226448059082;0.010429859161376953
cheney and bush are the real culprits;cheney bush real culprit;0.0;0.0;5.0;Neutro;0.0001251697540283203;0.014542341232299805;0.014667510986328125
life s a bitch and so is dick cheney p bipart tlot tcot hhrs gop dnc;life bitch dick cheney p bipart tlot tcot hhrs gop dnc;0.0;0.47;2.28;Negativo;0.00012254714965820312;0.015440702438354492;0.015563249588012695
dick cheney s dishonest speech about torture terror and obama fred kaplan slate;dick cheney dishonest speech torture terror obama fred kaplan slate;0.0;0.7;1.86;Negativo;0.0002186298370361328;0.009117364883422852;0.009335994720458984
the republican party is a bunch of anti abortion zealots who couldn t draw flies to a dump neal boortz just now on the radio;republican party bunch anti abortion zealot draw fly dump neal boortz radio;0.15;0.42;3.98;Neutro;0.00011348724365234375;0.010724067687988281;0.010837554931640625
is twitter s connections api broken some tweets didn t make it to twitter;twitter connection api broken tweet make twitter;0.0;0.34;3.84;Neutro;0.00010418891906738281;0.014557123184204102;0.014661312103271484
i srsly hate the stupid twitter api timeout thing soooo annoying;srsly hate stupid twitter api timeout thing soooo annoying;0.0;0.62;1.74;Negativo;0.00024580955505371094;0.011752605438232422;0.011998414993286133
i really liked learning jquery book is worth a look too;really liked learning jquery book worth look;0.5;0.0;8.31;Positivo;0.00012969970703125;0.01211857795715332;0.01224827766418457
very interesting ad from adobe by goodby silverstein amp partners youtube adobe cs le sens propre;interesting ad adobe goodby silverstein amp partner youtube adobe c le sen propre;0.2;0.0;5.47;Neutro;0.00013446807861328125;0.01353764533996582;0.013672113418579102
goodby silverstein agency new site great;goodby silverstein agency new site great;0.45;0.0;8.33;Positivo;0.00018477439880371094;0.011509180068969727;0.011693954467773438
rt goodby silverstein s new site i enjoy it nice find;rt goodby silverstein new site enjoy nice find;0.5;0.0;8.31;Positivo;0.0001556873321533203;0.011581897735595703;0.011737585067749023
the ever amazing psyop and goodby silverstein amp partners for hp have to go play with after effects now;ever amazing psyop goodby silverstein amp partner hp go play effect;0.41;0.0;7.47;Positivo;0.0001709461212158203;0.013146162033081055;0.013317108154296875
top ten most watched on viral video chart love the nike mostvaluablepuppets campaign from wieden amp kennedy;top ten watched viral video chart love nike mostvaluablepuppets campaign wieden amp kennedy;0.35;0.0;6.61;Neutro;0.00015211105346679688;0.011782407760620117;0.011934518814086914
zomg i have a g;zomg g;0.0;0.0;5.0;Neutro;0.00011968612670898438;0.015332937240600586;0.01545262336730957
ok so lots of buzz from io but how lucky are they a free g;ok lot buzz io lucky free g;0.73;0.0;8.16;Positivo;0.00013184547424316406;0.008533477783203125;0.008665323257446289
just got a free g android at google i o;got free g android google;0.52;0.0;8.3;Positivo;0.0001316070556640625;0.009016036987304688;0.00914764404296875
guess i ll be retiring my g and start using my developer g woot googleio;guess retiring g start using developer g woot googleio;0.32;0.0;6.29;Neutro;0.00012230873107910156;0.010876178741455078;0.01099848747253418
i am happy for philip being at googleio today;happy philip googleio today;0.55;0.0;8.27;Positivo;0.00011968612670898438;0.008822441101074219;0.008942127227783203
lakers played great cannot wait for thursday night lakers vs;lakers played great wait thursday night lakers v;0.56;0.0;8.25;Positivo;0.00013208389282226562;0.009531259536743164;0.00966334342956543
judd apatow creates fake sitcom on nbc com to market his new movie viral marketing at its best;judd apatow creates fake sitcom nbc com market new movie viral marketing best;0.33;0.16;5.91;Neutro;0.00010728836059570312;0.0109710693359375;0.011078357696533203
viral marketing fail this acia pills brand oughta get shut down for hacking into people s messenger s i get msgs in a day arrrgh;viral marketing fail acia pill brand oughta get shut hacking people messenger get msg day arrrgh;0.0;0.19;4.66;Neutro;0.00011491775512695312;0.011394023895263672;0.011508941650390625
watching night at the museum lmao;watching night museum lmao;0.56;0.0;8.25;Positivo;0.00012087821960449219;0.009760856628417969;0.009881734848022461
i loved night at the museum;loved night museum;0.66;0.0;8.09;Positivo;0.0001316070556640625;0.009129047393798828;0.00926065444946289
just got back from the movies went to see the new night at the museum with rachel it was good;got back movie went see new night museum rachel good;0.24;0.0;5.68;Neutro;0.0001251697540283203;0.011237144470214844;0.011362314224243164
i will take you on a date to see night at the museum whenever you want it looks soooooo good;take date see night museum whenever want look soooooo good;0.34;0.0;6.49;Neutro;0.00011944770812988281;0.011611223220825195;0.011730670928955078
no watching the night at the museum getting really good;watching night museum getting really good;0.39;0.0;7.14;Positivo;0.00011610984802246094;0.011140823364257812;0.011256933212280273
night at the museum wolverine and junk food perfect monday;night museum wolverine junk food perfect monday;0.38;0.0;6.99;Positivo;0.00011658668518066406;0.012075662612915039;0.012192249298095703
saw night at the museum last night pretty crazy movie but the cast was awesome so it was well worth it robin williams forever;saw night museum last night pretty crazy movie cast awesome well worth robin williams forever;0.48;0.1;6.72;Positivo;0.00012540817260742188;0.011429309844970703;0.011554718017578125
night at the museum tonite instead of up oh well that yr old better enjoy it lol;night museum tonite instead oh well yr old better enjoy lol;0.61;0.0;8.18;Positivo;0.00011968612670898438;0.008294820785522461;0.008414506912231445
it s unfortunate that after the stimulus plan was put in place twice to help gm on the back of the american people has led to the inevitable;unfortunate stimulus plan put place twice help gm back american people led inevitable;0.16;0.18;4.99;Neutro;0.00011730194091796875;0.011362552642822266;0.011479854583740234
tell me again why we are giving more to gm we should use that for all the programs that support the unemployed;tell giving gm use program support unemployed;0.51;0.0;8.31;Positivo;0.00011515617370605469;0.008884191513061523;0.008999347686767578
oh yes but if gm dies it will only be worth more boo hahaha;oh yes gm dy worth boo hahaha;0.67;0.0;8.07;Positivo;0.00015497207641601562;0.007990598678588867;0.008145570755004883
time warner cable is down again rd time since memorial day bummer;time warner cable rd time since memorial day bummer;0.0;0.24;4.45;Neutro;0.00019240379333496094;0.010902643203735352;0.011095046997070312
i would rather pay reasonable yearly taxes for free fast internet than get gouged by time warner for a slow connection;would rather pay reasonable yearly tax free fast internet get gouged time warner slow connection;0.19;0.08;5.35;Neutro;0.00012421607971191406;0.011077880859375;0.011202096939086914
nooooooo my dvr just died and i was only half way through the ea presser hate you time warner;nooooooo dvr died half way ea presser hate time warner;0.0;0.48;2.09;Negativo;0.0001125335693359375;0.011714458465576172;0.01182699203491211
f ck time warner cable you f cking suck balls i have a hd tv amp my damn hd channels hardly ever come in bullshit;f ck time warner cable f cking suck ball hd tv amp damn hd channel hardly ever come bullshit;0.0;0.4;3.27;Negativo;0.00012969970703125;0.011175870895385742;0.011305570602416992
time warner has the worse customer service ever i will never use them again;time warner worse customer service ever never use;0.0;0.31;4.06;Neutro;0.00011515617370605469;0.01084756851196289;0.010962724685668945
time warner is the devil worst possible time for the internet to go out;time warner devil worst possible time internet go;0.0;0.59;1.71;Negativo;0.00012350082397460938;0.009069204330444336;0.009192705154418945
fuck no internet damn time warner;fuck internet damn time warner;0.0;0.67;1.81;Negativo;0.00012350082397460938;0.008458852767944336;0.008582353591918945
time warner really picks the worst time to not work all i want to do is get to mtv com so i can watch the hills wtfffff;time warner really pick worst time work want get mtv com watch hill wtfffff;0.07;0.25;4.48;Neutro;0.00011849403381347656;0.009796380996704102;0.009914875030517578
i hate time warner soooo wish i had vios cant watch the fricken mets game w o buffering i feel like im watching free internet porn;hate time warner soooo wish vios cant watch fricken mets game w buffering feel like im watching free internet porn;0.31;0.14;5.92;Neutro;0.00011658668518066406;0.010377883911132812;0.010494470596313477
ahh got rid of stupid time warner today amp now taking a nap while the roomies cook for me pretty good end for a monday;ahh got rid stupid time warner today amp taking nap roomy cook pretty good end monday;0.27;0.15;5.6;Neutro;0.0001537799835205078;0.010254383087158203;0.010408163070678711
time warner s hd line up is crap;time warner hd line crap;0.0;0.39;3.38;Neutro;0.0001316070556640625;0.011118650436401367;0.01125025749206543
is being fucked by time warner cable didnt know modems could explode and susan boyle sucks too;fucked time warner cable didnt know modem could explode susan boyle suck;0.0;0.42;3.04;Negativo;0.00011992454528808594;0.011388778686523438;0.011508703231811523
time warner cable slogan where calling it a day at pm happens;time warner cable slogan calling day pm happens;0.0;0.0;5.0;Neutro;0.00014138221740722656;0.015070676803588867;0.015212059020996094
recovering from surgery wishing was here;recovering surgery wishing;0.49;0.0;8.32;Positivo;0.00013256072998046875;0.00898289680480957;0.009115457534790039
my wrist still hurts i have to get it looked at i hate the dr dentist scary places time to watch eagle eye if you want to join txt;wrist still hurt get looked hate dr dentist scary place time watch eagle eye want join txt;0.14;0.4;3.95;Neutro;0.0001087188720703125;0.010635614395141602;0.010744333267211914
the dentist lied u won t feel any discomort prob won t even need pain pills man u twippin this shit hurt how many pills can i take;dentist lied u feel discomort prob even need pain pill man u twippin shit hurt many pill take;0.0;0.52;1.67;Negativo;0.00013446807861328125;0.009594917297363281;0.009729385375976562
my dentist is great but she s expensive;dentist great expensive;0.67;0.0;8.07;Positivo;0.00011920928955078125;0.008315801620483398;0.00843501091003418
is studing math tomorrow exam and dentist;studing math tomorrow exam dentist;0.0;0.0;5.0;Neutro;8.797645568847656e-05;0.015706777572631836;0.015794754028320312
my dentist was wrong wrong;dentist wrong wrong;0.0;0.86;1.77;Negativo;0.000133514404296875;0.008544683456420898;0.008678197860717773
going to the dentist later;going dentist later;0.0;0.0;5.0;Neutro;0.00015306472778320312;0.01457834243774414;0.014731407165527344
son has me looking at cars online i hate car shopping would rather go to the dentist anyone with a good car at a good price to sell;son looking car online hate car shopping would rather go dentist anyone good car good price sell;0.25;0.16;5.45;Neutro;0.00012183189392089844;0.009576082229614258;0.009697914123535156
luke and i got stopped walking out of safeway and asked to empty our pockets and lift our shirts how jacked up is that;luke got stopped walking safeway asked empty pocket lift shirt jacked;0.0;0.29;4.18;Neutro;7.486343383789062e-05;0.01059269905090332;0.010667562484741211
safeway is very rock n roll tonight;safeway rock n roll tonight;0.0;0.0;5.0;Neutro;0.000148773193359375;0.01435542106628418;0.014504194259643555
the safeway bathroom still smells like ass;safeway bathroom still smell like as;0.33;0.0;6.39;Neutro;0.00012183189392089844;0.011026859283447266;0.011148691177368164
at safeway on elkhorn they move like they re dead;safeway elkhorn move like dead;0.26;0.44;4.62;Neutro;0.00012540817260742188;0.010750770568847656;0.010876178741455078
i love dwight howard s vitamin water commercial now i wish he was with nike and not adidas lol;love dwight howard vitamin water commercial wish nike adidas lol;0.67;0.0;8.07;Positivo;0.0001316070556640625;0.008107662200927734;0.008239269256591797
found nothing at nike factory off to banana republic outlet;found nothing nike factory banana republic outlet;0.0;0.0;5.0;Neutro;0.00014257431030273438;0.014666318893432617;0.014808893203735352
is lovin his nike already and that s only from running on the spot in his bedroom;lovin nike already running spot bedroom;0.0;0.0;5.0;Neutro;0.00013446807861328125;0.014859676361083984;0.014994144439697266
i finally got around to using jquery to make my bio collapse yay for slide animations;finally got around using jquery make bio collapse yay slide animation;0.22;0.2;5.16;Neutro;0.00011515617370605469;0.009394168853759766;0.00950932502746582
right lol we ll get there i have high expectations warren buffet style;right lol get high expectation warren buffet style;0.29;0.0;6.03;Neutro;0.00012493133544921875;0.010479211807250977;0.010604143142700195
rt rt great someone s sitting in the shade today because someone planted a tree a long time ago warren buffet;rt rt great someone sitting shade today someone planted tree long time ago warren buffet;0.23;0.0;5.62;Neutro;0.00010991096496582031;0.010425806045532227;0.010535717010498047
warren buffet became for a time the richest man in the united states not by working but investing in big idea which lead to the fortune;warren buffet became time richest man united state working investing big idea lead fortune;0.34;0.0;6.49;Neutro;0.0001323223114013672;0.011223793029785156;0.011356115341186523
according to the create a school notre dame will have receivers in ncaa at or higher rating sweet;according create school notre dame receiver ncaa higher rating sweet;0.39;0.0;7.14;Positivo;0.0001735687255859375;0.011219501495361328;0.011393070220947266
it s definitely under warranty amp my experience is the amazon support for kindle is great had to contact them about my kindle;definitely warranty amp experience amazon support kindle great contact kindle;0.65;0.0;8.1;Positivo;0.0001289844512939453;0.008286714553833008;0.008415699005126953
time warner road runner customer support here absolutely blows i hate not having other high speed net options i m ready to go nuclear;time warner road runner customer support absolutely blow hate high speed net option ready go nuclear;0.23;0.18;5.27;Neutro;0.0001266002655029297;0.009325504302978516;0.009452104568481445
time warner cable phone reps r dumber than nails ugh cable was working mins ago now its not wtf;time warner cable phone rep r dumber nail ugh cable working min ago wtf;0.0;0.48;2.09;Negativo;0.00017523765563964844;0.011513710021972656;0.011688947677612305
we tried but time warner wasn t being nice so we recorded today;tried time warner nice recorded today;0.36;0.0;6.72;Positivo;0.00011992454528808594;0.011869192123413086;0.011989116668701172
omg time warner f ed up my internet install instead of today its now next saturday another week w o internet amp ehfa v fhg fml;omg time warner f ed internet install instead today next saturday another week w internet amp ehfa v fhg fml;0.0;0.0;5.0;Neutro;0.00012874603271484375;0.014329910278320312;0.014458656311035156
wth i have never seen a line this loooong at time warner before ugh;wth never seen line loooong time warner ugh;0.0;0.51;1.67;Negativo;0.00014281272888183594;0.010213613510131836;0.010356426239013672
impatiently awaiting the arrival of the time warner guy it s way too pretty to be inside all afternoon;impatiently awaiting arrival time warner guy way pretty inside afternoon;0.23;0.19;5.24;Neutro;0.00010919570922851562;0.00964808464050293;0.009757280349731445
naive bayes using em for text classification really frustrating;naive bayes using em text classification really frustrating;0.0;0.47;2.28;Negativo;9.322166442871094e-05;0.012677192687988281;0.012770414352416992
we went to stanford university today got a tour made me want to go back to college it s also decided all of our kids will go there;went stanford university today got tour made want go back college also decided kid go;0.09;0.0;5.1;Neutro;0.00011563301086425781;0.013947725296020508;0.014063358306884766
if you re being harassed by calls about your car warranty changing your number won t fix that they call every number d bags;harassed call car warranty changing number fix call every number bag;0.18;0.25;4.82;Neutro;0.00014281272888183594;0.009357690811157227;0.009500503540039062
